generation,mean_fitness,best_fitness
80,-149825.281250,-9064.154297
81,-149781.875000,-9164.402344
82,-149624.281250,-9053.373047
83,-149665.500000,-9027.159180
84,-149705.843750,-8977.310547
85,-149720.140625,-8968.350586
86,-149605.625000,-8932.515625
87,-149484.187500,-8826.854492
88,-149417.343750,-8807.275391
89,-149437.625000,-8822.884766
90,-149438.937500,-8967.135742
91,-149375.968750,-8985.265625
92,-149240.843750,-8998.948242
93,-149185.781250,-8929.823242
94,-149287.453125,-9006.427734
95,-149386.000000,-9084.653320
96,-149406.484375,-9081.583008
97,-149417.906250,-9086.842773
98,-149379.171875,-9190.705078
99,-149405.312500,-9209.990234
100,-149399.593750,-9261.165039
101,-149438.953125,-9735.597656
102,-149484.468750,-9905.327148
103,-149673.015625,-9914.762695
104,-149637.843750,-9922.603516
105,-149502.796875,-9921.551758
106,-149477.906250,-9789.859375
107,-149371.500000,-9720.108398
108,-149236.171875,-9730.279297
109,-149330.406250,-9654.935547
110,-149323.578125,-9625.995117
111,-149113.921875,-9609.924805
112,-149119.656250,-9793.121094
113,-149209.125000,-9878.102539
114,-149225.281250,-9861.741211
115,-149117.140625,-9792.015625
116,-149068.031250,-9805.766602
117,-149048.343750,-9789.754883
118,-149049.296875,-10110.645508
119,-148998.921875,-10008.084961
120,-149021.468750,-10068.877930
121,-149109.953125,-9718.189453
122,-149120.218750,-9784.453125
123,-149008.765625,-9974.424805
124,-148972.953125,-10089.950195
125,-149051.656250,-10424.928711
126,-148970.640625,-10335.575195
127,-148983.437500,-10263.229492
128,-148980.328125,-10076.180664
129,-148936.984375,-9990.248047
130,-148820.218750,-10040.522461
131,-148791.609375,-9874.508789
132,-148855.859375,-10114.155273
133,-149005.453125,-10144.610352
134,-148930.437500,-10118.042969
135,-148967.140625,-10070.373047
136,-148989.171875,-10368.611328
137,-148933.828125,-10318.759766
138,-148940.718750,-10525.880859
139,-148881.703125,-10437.324219
140,-148915.171875,-11082.262695
141,-148929.171875,-11098.341797
142,-148895.625000,-11110.979492
143,-148846.968750,-11061.953125
144,-148865.078125,-11096.786133
145,-148691.000000,-11360.750977
146,-148767.468750,-11387.810547
147,-148785.609375,-11325.431641
148,-148892.437500,-11322.864258
149,-148857.281250,-11293.425781
150,-148738.234375,-11084.002930
151,-148773.125000,-11555.362305
152,-148872.468750,-11714.777344
153,-148822.406250,-11710.041016
154,-148862.859375,-11452.152344
155,-148901.843750,-11456.477539
156,-148833.578125,-11441.230469
157,-148891.609375,-11451.940430
158,-149076.843750,-11405.964844
159,-149067.734375,-11593.111328
160,-149096.078125,-11633.185547
161,-149070.359375,-11516.167969
162,-149012.578125,-11592.441406
163,-148927.781250,-11625.490234
164,-148839.171875,-11574.375977
165,-148758.781250,-11605.540039
166,-148612.468750,-11529.413086
167,-148605.296875,-11503.821289
168,-148640.500000,-11471.394531
169,-148576.406250,-11421.554688
170,-148494.468750,-11594.406250
171,-148592.875000,-11585.961914
172,-148647.984375,-11734.942383
173,-148671.781250,-11835.847656
174,-148745.718750,-11842.469727
175,-148734.625000,-11802.502930
176,-148843.281250,-11809.631836
177,-148696.187500,-11787.389648
178,-148701.281250,-11792.240234
179,-148857.859375,-11775.645508
180,-148882.281250,-11723.749023
181,-148830.234375,-11862.499023
182,-148837.218750,-11872.708008
183,-148696.140625,-11746.391602
184,-148620.187500,-11916.115234
185,-148848.265625,-11981.581055
186,-148808.156250,-11854.110352
187,-148845.500000,-11840.568359
188,-148758.828125,-12549.892578
189,-148778.671875,-12626.216797
190,-148727.796875,-12730.882812
191,-148609.265625,-12720.267578
192,-148596.171875,-12799.048828
193,-148614.062500,-12751.048828
194,-148725.734375,-12750.320312
195,-148720.406250,-12647.596680
196,-148789.328125,-12714.209961
197,-148876.515625,-12611.333008
198,-148989.156250,-13118.435547
199,-149104.781250,-13124.715820
200,-149202.546875,-13222.433594
201,-149306.968750,-13352.479492
202,-149478.781250,-13406.382812
203,-149464.671875,-13394.974609
204,-149464.046875,-13482.157227
205,-149513.656250,-13566.354492
206,-149535.890625,-13312.819336
207,-149495.453125,-13343.291992
208,-149704.109375,-13458.825195
209,-149715.531250,-13452.870117
210,-149707.437500,-13592.751953
211,-149722.000000,-13590.408203
212,-149676.593750,-13521.275391
213,-149561.859375,-13298.553711
214,-149559.859375,-13765.750000
215,-149645.078125,-13771.916016
216,-149549.531250,-13773.544922
217,-149557.609375,-13732.499023
218,-149506.453125,-13769.010742
219,-149526.375000,-13773.014648
220,-149505.953125,-13787.807617
221,-149516.406250,-13929.243164
222,-149469.859375,-13976.478516
223,-149519.046875,-14095.171875
224,-149639.671875,-14123.613281
225,-149598.359375,-14092.404297
226,-149607.515625,-14034.382812
227,-149568.343750,-13915.835938
228,-149699.250000,-13906.130859
229,-149620.062500,-13549.211914
230,-149571.218750,-13897.199219
231,-149545.890625,-13979.914062
232,-149537.156250,-14126.866211
233,-149503.093750,-14302.638672
234,-149395.187500,-14045.666992
235,-149243.390625,-14370.125977
236,-149181.937500,-14384.697266
237,-149130.359375,-14358.492188
238,-148998.515625,-14261.938477
239,-148954.359375,-14228.457031
240,-148947.453125,-14231.222656
241,-149063.203125,-14330.198242
242,-149170.000000,-14418.916016
243,-149191.703125,-14523.315430
244,-149313.406250,-14541.793945
245,-149373.781250,-14529.375000
246,-149299.156250,-14513.578125
247,-149304.406250,-14537.050781
248,-149283.375000,-14530.463867
249,-149267.812500,-14589.846680
250,-149224.718750,-14573.417969
251,-149271.703125,-14510.501953
252,-149238.468750,-14533.779297
253,-149202.468750,-14541.591797
254,-149361.359375,-14302.250977
255,-149249.109375,-14287.111328
256,-149276.250000,-14324.585938
257,-149158.484375,-14313.165039
258,-149169.515625,-14243.788086
259,-149186.968750,-14452.191406
260,-149110.843750,-14564.085938
261,-149169.531250,-14535.828125
262,-149100.750000,-14589.617188
263,-149140.546875,-14214.847656
264,-149211.781250,-14503.785156
265,-149400.750000,-14760.690430
266,-149295.015625,-14704.913086
267,-149423.656250,-14642.241211
268,-149436.453125,-14637.153320
269,-149596.750000,-14568.125977
270,-149580.468750,-14666.460938
271,-149508.484375,-14782.135742
272,-149608.718750,-14521.615234
273,-149474.281250,-14452.946289
