generation,mean_fitness,best_fitness
170,-62207.230469,-62205.707031
171,-62285.765625,-62206.179688
172,-62238.546875,-62206.074219
173,-62305.148438,-62205.929688
174,-62239.421875,-62205.875000
175,-62207.109375,-62205.878906
176,-62207.191406,-62205.851562
177,-62207.226562,-62206.113281
178,-62207.285156,-62206.191406
179,-62336.046875,-62206.019531
180,-62352.304688,-62206.156250
181,-62207.640625,-62206.109375
182,-62207.148438,-62205.878906
183,-62238.523438,-62206.242188
184,-62401.480469,-62206.281250
185,-62425.550781,-62206.281250
186,-62351.109375,-62206.304688
187,-62238.671875,-62206.238281
188,-62302.496094,-62206.218750
189,-62305.171875,-62206.035156
190,-62271.308594,-62206.210938
191,-62252.980469,-62205.742188
192,-62348.316406,-62206.324219
193,-62208.203125,-62206.160156
194,-62302.949219,-62206.078125
195,-62238.585938,-62206.203125
196,-62239.238281,-62205.957031
197,-62207.304688,-62206.261719
198,-62350.101562,-62206.167969
199,-62207.421875,-62206.351562
200,-62254.234375,-62205.667969
201,-62475.429688,-62206.480469
202,-62365.613281,-62206.328125
203,-62207.300781,-62206.121094
204,-62367.781250,-62206.144531
205,-62207.121094,-62206.183594
206,-62456.328125,-62206.085938
207,-62207.281250,-62205.886719
208,-62305.339844,-62206.148438
209,-62238.570312,-62206.429688
210,-62252.910156,-62206.214844
211,-62253.160156,-62206.132812
212,-62254.406250,-62206.296875
213,-62349.785156,-62206.148438
214,-62270.835938,-62206.492188
215,-62207.195312,-62206.070312
216,-62304.160156,-62205.652344
217,-62253.164062,-62206.460938
218,-62238.425781,-62205.843750
219,-62207.250000,-62205.839844
220,-62302.988281,-62206.003906
221,-62207.160156,-62205.710938
222,-62238.449219,-62206.496094
223,-62254.285156,-62206.027344
224,-62253.398438,-62205.964844
225,-62335.214844,-62206.296875
226,-62207.175781,-62206.113281
227,-62207.390625,-62205.925781
228,-62207.175781,-62205.972656
229,-62238.613281,-62206.257812
230,-62207.750000,-62206.195312
231,-62383.558594,-62206.210938
232,-62239.410156,-62205.976562
233,-62366.234375,-62205.777344
234,-62252.949219,-62205.980469
235,-62207.210938,-62206.230469
236,-62208.296875,-62206.042969
237,-62348.691406,-62206.183594
238,-62207.171875,-62206.300781
239,-62337.281250,-62205.476562
240,-62302.050781,-62205.382812
241,-62206.761719,-62205.312500
242,-62206.453125,-62205.484375
243,-62334.433594,-62205.574219
244,-62207.210938,-62205.335938
245,-62206.496094,-62205.316406
246,-62206.835938,-62205.484375
247,-62237.679688,-62205.273438
248,-62206.363281,-62204.562500
249,-62206.359375,-62205.128906
250,-62348.644531,-62205.101562
251,-62253.359375,-62205.453125
252,-62301.699219,-62205.511719
253,-62302.355469,-62205.718750
254,-62237.691406,-62204.734375
255,-62206.675781,-62205.156250
256,-62206.320312,-62205.496094
257,-62237.750000,-62204.929688
258,-62333.906250,-62205.546875
259,-62206.570312,-62205.417969
260,-62237.703125,-62205.269531
261,-62302.199219,-62205.476562
262,-62334.281250,-62205.289062
263,-62238.683594,-62205.476562
264,-62206.511719,-62205.496094
265,-62207.109375,-62205.265625
266,-62206.453125,-62204.976562
267,-62336.500000,-62204.484375
268,-62236.171875,-62203.710938
269,-62250.871094,-62203.839844
270,-62282.816406,-62203.652344
271,-62299.980469,-62203.460938
272,-62303.093750,-62203.699219
273,-62204.628906,-62203.789062
274,-62236.894531,-62203.664062
275,-62301.011719,-62203.031250
276,-62328.695312,-62202.367188
277,-62203.566406,-62202.257812
278,-62391.765625,-62201.964844
279,-62203.269531,-62202.410156
280,-62234.746094,-62202.253906
281,-62234.601562,-62202.226562
282,-62396.988281,-62202.281250
283,-62203.289062,-62202.109375
284,-62203.136719,-62202.179688
285,-62203.378906,-62202.187500
286,-62234.765625,-62202.089844
287,-62203.351562,-62202.320312
288,-62476.921875,-62201.863281
289,-62202.753906,-62201.609375
290,-62233.753906,-62201.296875
291,-62344.558594,-62200.679688
292,-62201.601562,-62200.667969
293,-62233.148438,-62200.722656
294,-62249.199219,-62200.703125
295,-62247.828125,-62200.835938
296,-62201.679688,-62200.769531
297,-62201.648438,-62200.570312
298,-62234.140625,-62200.804688
299,-62247.769531,-62200.320312
300,-62247.148438,-62200.539062
301,-62233.636719,-62200.652344
302,-62470.710938,-62200.394531
303,-62201.476562,-62200.226562
304,-62201.515625,-62199.859375
305,-62234.023438,-62200.179688
306,-62248.523438,-62199.785156
307,-62201.613281,-62200.570312
308,-62297.269531,-62200.066406
309,-62247.441406,-62200.320312
310,-62429.730469,-62200.714844
311,-62201.539062,-62200.253906
312,-62201.531250,-62200.417969
313,-62339.101562,-62200.343750
314,-62345.625000,-62200.101562
315,-62233.675781,-62200.382812
316,-62297.171875,-62200.074219
317,-62278.753906,-62200.277344
318,-62264.230469,-62200.484375
319,-62201.484375,-62200.339844
320,-62346.531250,-62200.484375
321,-62297.460938,-62200.261719
322,-62247.511719,-62200.164062
323,-62309.925781,-62200.601562
324,-62201.371094,-62200.437500
325,-62329.019531,-62200.078125
326,-62232.910156,-62200.304688
327,-62298.074219,-62200.207031
328,-62232.984375,-62200.378906
329,-62201.476562,-62200.296875
330,-62390.109375,-62200.269531
331,-62232.824219,-62199.824219
332,-62247.164062,-62200.117188
333,-62299.410156,-62200.496094
334,-62297.183594,-62200.234375
335,-62248.519531,-62200.660156
336,-62328.199219,-62199.972656
337,-62201.546875,-62200.207031
338,-62342.445312,-62200.429688
339,-62361.320312,-62200.660156
340,-62344.195312,-62200.324219
341,-62281.355469,-62200.066406
342,-62311.968750,-62200.679688
343,-62201.664062,-62200.613281
344,-62296.906250,-62200.722656
345,-62279.031250,-62200.464844
346,-62247.433594,-62200.246094
347,-62232.980469,-62200.652344
348,-62247.296875,-62199.738281
349,-62202.644531,-62200.574219
350,-62300.375000,-62200.449219
351,-62343.449219,-62200.351562
352,-62377.910156,-62200.511719
353,-62419.578125,-62200.570312
354,-62233.734375,-62200.144531
355,-62201.464844,-62200.355469
356,-62201.539062,-62200.476562
357,-62233.816406,-62200.269531
358,-62201.699219,-62200.785156
359,-62392.121094,-62200.359375
360,-62201.566406,-62200.042969
361,-62201.710938,-62199.953125
362,-62344.164062,-62200.148438
363,-62297.074219,-62199.683594
364,-62201.230469,-62199.890625
365,-62247.234375,-62199.777344
366,-62356.699219,-62200.105469
367,-62233.320312,-62199.914062
368,-62384.746094,-62199.976562
369,-62310.464844,-62199.988281
370,-62201.085938,-62200.148438
371,-62294.070312,-62200.187500
372,-62201.390625,-62199.949219
373,-62345.246094,-62199.562500
374,-62296.886719,-62199.687500
375,-62278.183594,-62200.003906
376,-62232.300781,-62200.011719
377,-62281.320312,-62199.914062
378,-62297.261719,-62199.675781
379,-62264.519531,-62200.187500
380,-62297.000000,-62200.152344
381,-62201.968750,-62200.054688
382,-62346.164062,-62200.214844
383,-62425.941406,-62199.925781
384,-62345.910156,-62200.230469
385,-62296.710938,-62200.312500
386,-62233.359375,-62200.039062
387,-62232.484375,-62198.632812
388,-62295.843750,-62198.855469
389,-62295.386719,-62198.398438
390,-62201.468750,-62198.558594
391,-62199.730469,-62198.691406
392,-62245.816406,-62198.214844
393,-62298.730469,-62198.582031
394,-62232.390625,-62198.410156
395,-62292.804688,-62198.878906
396,-62199.824219,-62198.976562
397,-62393.554688,-62198.761719
398,-62199.820312,-62198.710938
399,-62295.214844,-62198.964844
400,-62200.218750,-62198.957031
401,-62200.058594,-62199.078125
402,-62199.828125,-62198.804688
403,-62277.414062,-62198.339844
404,-62246.078125,-62198.675781
405,-62295.609375,-62198.781250
406,-62295.199219,-62198.371094
407,-62231.058594,-62197.378906
408,-62295.601562,-62198.839844
409,-62322.898438,-62198.816406
410,-62199.800781,-62198.484375
411,-62525.878906,-62198.300781
412,-62376.894531,-62198.503906
413,-62295.128906,-62198.136719
414,-62327.675781,-62198.371094
415,-62232.425781,-62198.187500
416,-62245.460938,-62198.636719
417,-62374.984375,-62198.753906
418,-62199.843750,-62198.875000
419,-62199.773438,-62199.027344
420,-62324.210938,-62198.617188
421,-62278.218750,-62198.152344
422,-62277.421875,-62198.945312
423,-62200.855469,-62198.734375
424,-62245.679688,-62198.550781
425,-62199.636719,-62198.429688
426,-62199.691406,-62198.582031
427,-62199.808594,-62198.742188
428,-62199.769531,-62198.816406
429,-62278.183594,-62198.351562
430,-62358.453125,-62198.570312
431,-62426.968750,-62198.746094
432,-62438.613281,-62198.601562
433,-62231.226562,-62198.585938
434,-62391.296875,-62198.808594
435,-62467.304688,-62198.574219
436,-62295.070312,-62198.773438
437,-62246.585938,-62198.773438
438,-62329.093750,-62198.601562
439,-62199.906250,-62198.804688
440,-62245.734375,-62198.480469
441,-62245.695312,-62198.781250
442,-62199.929688,-62198.750000
443,-62199.953125,-62198.117188
444,-62296.148438,-62198.386719
445,-62231.246094,-62198.480469
446,-62297.796875,-62198.484375
447,-62231.125000,-62198.660156
448,-62326.695312,-62198.304688
449,-62199.945312,-62198.730469
450,-62231.394531,-62198.515625
451,-62201.226562,-62198.324219
452,-62341.960938,-62198.734375
453,-62277.050781,-62198.593750
454,-62329.468750,-62198.808594
455,-62200.070312,-62198.453125
456,-62231.941406,-62198.917969
457,-62326.843750,-62198.589844
458,-62199.781250,-62198.671875
459,-62232.050781,-62198.746094
460,-62298.621094,-62198.859375
461,-62231.886719,-62198.574219
462,-62232.125000,-62198.210938
463,-62231.429688,-62198.925781
464,-62310.414062,-62198.597656
