generation,mean_fitness,best_fitness
251,2.830826,4.720000
252,2.765834,4.745000
253,3.277076,4.710000
254,3.693750,4.685000
255,2.775833,4.710000
256,3.689167,4.685000
257,1.820000,4.720000
258,4.183333,4.725000
259,2.297917,4.755000
260,2.280834,4.760000
261,3.241667,4.755000
262,1.870409,4.700000
263,2.775833,4.750000
264,2.303334,4.735000
265,2.341243,4.715000
266,3.227500,4.740000
267,3.700834,4.730000
268,3.716250,4.765000
269,4.206666,4.760000
270,2.778333,4.750000
271,4.182917,4.745000
272,4.635417,4.690000
273,3.237083,4.690000
274,3.237917,4.735000
275,4.626250,4.705000
276,3.720000,4.735000
277,3.712500,4.745000
278,4.164584,4.715000
279,4.673334,4.745000
280,4.652917,4.710000
281,4.211667,4.740000
282,3.703751,4.735000
283,2.306250,4.735000
284,4.182917,4.745000
285,4.206667,4.775000
286,3.217500,4.650000
287,3.703750,4.725000
288,4.671667,4.735000
289,4.185833,4.710000
290,3.246667,4.705000
291,3.719167,4.780000
292,4.174583,4.760000
293,2.757917,4.710000
294,4.665417,4.755000
295,2.878736,4.730000
296,4.153334,4.755000
297,3.709167,4.740000
298,4.205417,4.750000
299,4.201667,4.720000
300,3.717083,4.705000
301,3.692083,4.730000
302,4.212917,4.745000
303,4.162083,4.690000
304,3.723334,4.735000
305,3.713334,4.735000
306,3.253333,4.770000
307,4.180834,4.740000
308,4.165417,4.720000
309,4.194583,4.745000
310,3.233751,4.740000
311,4.193750,4.745000
312,4.657083,4.730000
313,4.675834,4.750000
314,4.175417,4.745000
315,3.687083,4.695000
316,2.759583,4.725000
317,3.246250,4.715000
318,3.710417,4.715000
319,4.196250,4.720000
320,3.719167,4.730000
321,3.255417,4.745000
322,4.205000,4.750000
323,3.698750,4.725000
324,3.737083,4.755000
325,4.178334,4.740000
326,4.665000,4.765000
327,4.201666,4.745000
328,3.712084,4.725000
329,4.182500,4.720000
330,3.226250,4.760000
331,4.202084,4.720000
332,4.652084,4.705000
333,4.180000,4.745000
334,4.199584,4.745000
335,4.165000,4.760000
336,3.720417,4.715000
337,3.739166,4.765000
338,3.260417,4.745000
339,3.698334,4.705000
340,3.717500,4.735000
341,3.710417,4.745000
342,3.697083,4.760000
343,3.718333,4.730000
344,4.195417,4.725000
345,3.721667,4.755000
346,3.729167,4.720000
347,4.192084,4.745000
348,4.167500,4.755000
349,4.676666,4.735000
350,4.194167,4.755000
351,4.655417,4.765000
352,4.166250,4.720000
353,3.714167,4.745000
354,4.690000,4.755000
355,3.713750,4.750000
356,4.193750,4.700000
357,2.363326,4.740000
358,3.712083,4.705000
359,3.246667,4.750000
360,4.175833,4.745000
361,2.348326,4.715000
362,3.217084,4.710000
363,1.922485,4.700000
364,3.789160,4.760000
365,2.399569,4.720000
366,1.450402,4.725000
367,2.787917,4.735000
368,1.934152,4.720000
369,3.711667,4.730000
370,1.353333,4.745000
371,3.257916,4.765000
372,3.246250,4.735000
373,2.321666,4.775000
374,3.309160,4.720000
375,1.835000,4.705000
376,3.702500,4.710000
377,4.635001,4.700000
378,3.252500,4.730000
379,3.694167,4.705000
380,3.232500,4.710000
381,4.212501,4.755000
382,1.875826,4.730000
